id,title,avg_rate,geek_rate,num_votes
483,Diplomacy,7.07,6.857,9677
240,Britannia,7.24,6.856,3542
53953,Thunderstone,7.02,6.855,8867
158889,Summoner Wars: Alliances Master Set,8.37,6.854,860
29368,Last Night on Earth: The Zombie Game,7.04,6.854,11833
72225,CO₂,7.28,6.853,2837
168435,Between Two Cities,7.14,6.853,4352
20100,Wits & Wagers,6.99,6.852,9694
156009,Port Royal,7.14,6.852,4625
156566,Lords of Xidit,7.29,6.850,2703
2453,Blokus,6.95,6.846,16417
111799,Cuba Libre,7.81,6.842,1234
1301,Netrunner,7.47,6.842,2089
95064,Ascension: Return of the Fallen,7.35,6.841,2611
19600,Antike,7.14,6.839,4270
67492,Battles of Westeros,7.39,6.836,2327
554,La Città,7.10,6.836,4612
40628,Finca,7.06,6.832,5491
119788,Hyperborea,7.34,6.829,2588
22825,Tide of Iron,7.26,6.829,3415
170042,Raiders of the North Sea,7.89,6.827,1218
129948,The Palaces of Carrara,7.26,6.827,2661
173442,Empires: Age of Discovery,8.13,6.819,905
904,Dream Factory,7.08,6.818,4377
131646,Merchant of Venus (second edition),7.25,6.817,2800
156336,Onirim (second edition),7.36,6.817,2362
1822,Wilderness War,7.73,6.816,1351
147151,Concept,6.99,6.814,7401
8045,Princes of the Renaissance,7.47,6.814,1746
8051,Attika,7.03,6.814,5902
117959,Las Vegas,7.07,6.814,4671
161417,Red7,7.02,6.812,5889
55427,Mr. Jack in New York,7.34,6.812,2293
89409,BattleCON: War of Indines,7.86,6.812,1191
71721,Space Hulk: Death Angel – The Card Game,6.98,6.811,9358
171499,Cacao,7.15,6.809,3654
92415,Skull,7.05,6.808,5105
30645,Tammany Hall,7.29,6.807,2468
60,Vinci,7.14,6.806,3679
174570,Legendary Encounters: A Predator Deck Building Game,7.74,6.806,1310
145659,Scoville,7.24,6.804,2681
160010,Conan,8.23,6.804,1202
156776,"Warhammer 40,000: Conquest",7.51,6.800,1922
141517,A Study in Emerald,7.28,6.799,2465
194607,Mystic Vale,7.37,6.798,2272
198928,Pandemic Iberia,8.30,6.797,867
37380,Roll Through the Ages: The Bronze Age,6.92,6.795,9845
111341,The Great Zimbabwe,7.67,6.795,1288
66505,The Speicherstadt,7.08,6.795,4002
2955,Mexica,7.16,6.794,3219
224,History of the World,7.13,6.793,3921
122298,Morels,7.09,6.792,4220
45,Liar's Dice,6.93,6.791,9149
171669,Discoveries,7.24,6.790,2494
173,Formula Dé,6.99,6.790,7028
135382,Shadowrun: Crossfire,7.33,6.786,2288
104363,Rex: Final Days of an Empire,7.17,6.785,3127
104710,Wiz-War (eighth edition),7.14,6.785,3619
26990,Container,7.11,6.784,3529
2398,Cribbage,7.01,6.784,5948
65244,Forbidden Island,6.86,6.782,25552
98229,Pictomania,7.39,6.781,1831
51,Ricochet Robots,7.00,6.779,6135
162286,Super Motherload,7.61,6.778,1360
165401,Wir sind das Volk!,7.97,6.776,974
551,Battle Cry,7.17,6.776,3183
137649,Level 7 [Omega Protocol],7.61,6.776,1406
181530,Runebound (Third Edition),7.63,6.772,1544
432,6 nimmt!,6.89,6.770,11146
50768,Ninjato,7.28,6.768,2249
72287,Mr. Jack Pocket,7.01,6.767,4904
104020,Vanuatu,7.30,6.767,2070
16747,Tumblin-Dice,7.16,6.766,2840
38054,Snow Tails,7.00,6.765,4734
122522,Smash Up,6.91,6.764,15101
132018,Churchill,7.77,6.764,1162
130960,Triumph & Tragedy,8.38,6.762,736
27588,Zooloretto,6.88,6.758,11481
97903,Terror in Meeple City,6.98,6.758,5550
94246,1812: The Invasion of Canada,7.41,6.757,1717
59946,Dungeons & Dragons: Castle Ravenloft Board Game,6.99,6.757,6746
18100,China,7.04,6.756,3939
38159,Ultimate Werewolf: Ultimate Edition,7.17,6.754,2946
15817,Manila,7.02,6.750,4440
57390,Catacombs,7.18,6.750,2723
180974,Potion Explosion,7.24,6.748,2519
23094,Planet Steam,7.28,6.747,2116
5737,Domaine,7.05,6.746,3829
2093,Mahjong,7.03,6.745,4896
699,HeroQuest,7.01,6.744,8004
25568,Metropolys,7.04,6.742,3546
35497,Fauna,7.11,6.741,3036
17396,Manoeuvre,7.30,6.738,1998
66056,The Rivals for Catan,7.10,6.736,3507
161866,Zombicide Season 3: Rue Morgue,7.79,6.733,1207
